event_name;Correctness;Task2;user_id;Group;DeviceOrder;VariantOrder;variant;device;TaskType
setting task;;Choropleth1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
question dialog closed;;Choropleth1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
legend opened;;Choropleth1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
legend closed;;Choropleth1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
movestart;;Choropleth1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
zoom in;;Choropleth1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
moveend;;Choropleth1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupopen:name;;Choropleth1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupopen;;Choropleth1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupclose;;Choropleth1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupopen:name;;Choropleth1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupopen;;Choropleth1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
answer button clicked;;Choropleth1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
popupclose;;Choropleth1;P01;03-Advanced;Smartphone-Desktop;B-A;variant-b;smartphone;Choropleth
