Participant;Category;Device;Choropleth1;Choropleth2;Choropleth3;Choropleth4;Choropleth5;Point1;Point2;Point3;Point4
P30;01-Beginner;Desktop;5,526;8,722;8,735;11,884;24,258;9,444;16,315;28,428;26,637
P31;01-Beginner;Desktop;15,928;14,051;16,663;96,382;71,853;19,124;13,605;47,168;66,969
P32;01-Beginner;Desktop;11,241;23,989;20,049;34,5;36,68;13,526;15,556;18,009;24,066
P33;01-Beginner;Desktop;17,216;18,191;71,595;147,42;55,731;21,003;21,058;33,684;28,582
P34;01-Beginner;Desktop;41,262;63,456;40,682;55,229;14,564;19,04;12,577;25,931;54,174
P35;01-Beginner;Desktop;30,915;23,802;23,247;92,041;73,483;13,94;8,979;25,696;38,122
P36;01-Beginner;Desktop;9,841;21,642;14,497;24,133;36,982;11,535;13,845;24,711;26,821
P37;01-Beginner;Desktop;9,253;7,362;9,96;21,396;15,484;16,794;15,784;19,422;31,322
P38;01-Beginner;Desktop;5,684;10,357;29,456;25,752;31,987;11,003;16,475;16,14;33,135
P39;01-Beginner;Desktop;15,695;23,127;37,214;24,893;45,848;25,368;17,55;21,385;51,397
P40;01-Beginner;Desktop;14,907;18,016;17,631;26,765;22,318;14,196;18,069;17,791;23,658
P41;01-Beginner;Desktop;11,111;15,588;49,408;58,817;79,102;15,119;16,611;27,364;41,03
P42;01-Beginner;Desktop;9,342;27,372;24,804;18,092;35,798;8,337;14,946;15,964;17,462
P43;01-Beginner;Desktop;19,617;18,627;30,358;56,075;48,167;14,918;18,861;20,584;26,033
P08;02-Intermediate;Desktop;26,388;22,92;106,672;67,154;37,868;6,679;30,814;29,772;32,541
P09;02-Intermediate;Desktop;16,595;26,016;35,949;54,651;17,237;9,457;19,005;11,664;40,578
P11;02-Intermediate;Desktop;10,375;23,535;7,1;22,786;27,339;17,776;17,312;18,191;20,596
P12;02-Intermediate;Desktop;15,766;16,282;40,147;23,941;34,417;15,422;21,79;23,312;44,292
P13;02-Intermediate;Desktop;13,513;28,821;9,862;41,921;19,68;17,732;15,369;13,543;24,457
P14;02-Intermediate;Desktop;12,037;14,872;29,584;57,944;15,826;9,686;13,5;11,353;18,385
P15;02-Intermediate;Desktop;16,172;22,075;30,349;68,178;53,582;17,897;14,882;24,275;31,572
P16;02-Intermediate;Desktop;16,331;27,389;40,804;57,282;30,271;14,364;18,498;18,522;28,869
P17;02-Intermediate;Desktop;10,658;20,212;16,583;27,28;44,527;26,519;28,731;10,101;27,864
P18;02-Intermediate;Desktop;11,2;18,263;29,817;43,142;21,817;16,894;11,751;15,847;25,794
P19;02-Intermediate;Desktop;19,391;28,952;81,926;61,917;43,167;25,313;16,469;25,515;29,877
P22;02-Intermediate;Desktop;13,916;19,498;53,263;41,816;62,115;21,807;26,675;14,731;29
P23;02-Intermediate;Desktop;19,716;15,582;39,07;138,608;59,134;18,668;17,614;34,68;35,341
P24;02-Intermediate;Desktop;17,921;13,945;18,167;19,137;40,377;17,138;16,798;24,793;24,67
P25;02-Intermediate;Desktop;14,686;10,693;52,978;37,433;38,302;15,558;14,496;26,628;30,567
P27;02-Intermediate;Desktop;14,328;14,895;15,332;29,728;33,544;26,371;15,027;20,303;17,296
P28;02-Intermediate;Desktop;7,97;26,532;38,067;44,391;82,867;13,583;24,165;16,477;15,016
P29;02-Intermediate;Desktop;13,775;31,687;13,564;45,395;32,783;24,232;14,706;15,788;24,736
P01;03-Advanced;Desktop;11,702;23,539;24,106;29,184;18,819;14,372;13,709;11,486;24,514
P02;03-Advanced;Desktop;8,281;14,375;33,527;19,052;21,562;6,259;12,491;13,401;23,526
P03;03-Advanced;Desktop;15,769;17,325;45,269;34,938;66,833;22,398;15,741;16,352;30,353
P04;03-Advanced;Desktop;16,526;33,147;43,657;58,353;37,539;14,299;14,316;16,752;24,266
P05;03-Advanced;Desktop;23,765;41,323;51,72;67,778;34,203;27,231;40,363;36,227;61,168
P06;03-Advanced;Desktop;13,439;20,618;30,897;89,29;27,087;17,172;14,672;21,568;41,4
P07;03-Advanced;Desktop;16,779;22,386;80,813;131,401;24,898;15,937;13,661;24,856;32,381
P20;03-Advanced;Desktop;17,119;20,519;66,509;51,643;98,281;16,911;15,647;15,787;29,384
P21;03-Advanced;Desktop;24,391;16,161;42,774;53,818;46,884;23,468;16,168;27,684;41,942
P30;01-Beginner;Smartphone;18,74;32,471;26,906;34,766;37,499;35,229;18,426;16,932;31,469
P31;01-Beginner;Smartphone;20,802;22,717;9,455;10,832;10,676;15,867;18,234;31,17;77,361
P32;01-Beginner;Smartphone;23,582;17,156;15,213;44,299;57,103;17,707;15,209;17,476;46,07
P33;01-Beginner;Smartphone;13,026;43,765;16,088;65,565;36,438;16,833;15,456;20,125;33,578
P34;01-Beginner;Smartphone;9,211;20,971;26,984;38,282;35,547;16,834;23,014;38,395;97,09
P35;01-Beginner;Smartphone;93,735;107,179;88,319;12,775;27,833;116,505;20,57;19,458;22,714
P36;01-Beginner;Smartphone;14,18;24,948;13,262;68,655;24,694;25,541;20,731;21,351;27,287
P37;01-Beginner;Smartphone;12,254;32,749;72,81;22,465;26,253;10,517;14,128;36,831;81,6
P38;01-Beginner;Smartphone;13,386;11,441;27,076;47,413;56,886;17,339;16,902;32,554;47,766
P39;01-Beginner;Smartphone;14,428;27,101;12,597;39,248;18,957;10,448;21,066;14,01;34,122
P40;01-Beginner;Smartphone;48,548;30,112;18,103;23,029;26,209;30,401;16,083;24,493;31,96
P41;01-Beginner;Smartphone;14,24;26,435;20,004;50,453;28,177;14,098;33,484;21,638;36,317
P42;01-Beginner;Smartphone;29,123;20,066;36,657;73,716;73,491;20,005;16,016;25,487;29,536
P43;01-Beginner;Smartphone;8,037;10,793;32,701;31,252;28,655;12,398;14,918;27,617;23,28
P08;02-Intermediate;Smartphone;36,496;30,611;11,134;54,056;54,041;23,118;15,54;24,287;25,234
P09;02-Intermediate;Smartphone;10,061;12,524;25,448;36,568;25,764;12,898;21,562;18,548;21,233
P11;02-Intermediate;Smartphone;10,086;22,82;10,977;26,971;37,759;15,643;31,291;24,019;22,618
P12;02-Intermediate;Smartphone;28,979;48,125;56,495;35,782;68,273;21,085;29,412;30,025;36,079
P13;02-Intermediate;Smartphone;8,151;23,074;27,127;22,691;45,885;12,64;22,114;15,889;20,713
P14;02-Intermediate;Smartphone;15,06;20,955;25,451;50,435;90,644;18,027;23,322;19,732;22,926
P15;02-Intermediate;Smartphone;12,88;24,453;92,502;25,876;29,803;22,567;21,437;20,925;35,282
P16;02-Intermediate;Smartphone;22,299;35,044;25,28;88,723;69,495;19,451;24,752;20,798;44,159
P17;02-Intermediate;Smartphone;13,723;25,995;25,475;36,067;58,074;21,287;18,743;33,03;29,304
P18;02-Intermediate;Smartphone;13,688;23,073;23,239;21,07;48,025;25,28;26,114;13,58;16,76
P19;02-Intermediate;Smartphone;11,822;46,005;23,832;36,68;36,041;9,931;13,178;11,233;18,695
P22;02-Intermediate;Smartphone;24,953;39,524;55,291;63,018;22,464;24,374;32,997;26,868;37,261
P23;02-Intermediate;Smartphone;10,617;15,191;52,709;38,405;53,589;20,769;29,936;38,147;53,046
P24;02-Intermediate;Smartphone;14,176;27,457;21,176;21,783;27,291;34,911;24,353;23,779;36,77
P25;02-Intermediate;Smartphone;23,935;15,2;40,541;28,738;26,112;34,232;24,502;25,407;27,274
P27;02-Intermediate;Smartphone;11,488;11,987;25,404;22,158;37,464;13,004;17,646;15,952;21,444
P28;02-Intermediate;Smartphone;34,346;34,733;46,32;49,034;34,887;21,764;20,381;25,028;22,825
P29;02-Intermediate;Smartphone;6,382;27,946;23,763;35,706;16,915;13,948;29,578;11,467;22,653
P01;03-Advanced;Smartphone;19,825;32,121;103,306;61,566;95,416;27,201;21,848;18,524;27,754
P02;03-Advanced;Smartphone;13,954;22,284;24,119;60,355;45,365;18,868;16,343;35,931;13,056
P03;03-Advanced;Smartphone;16,727;19,982;28,316;26,42;36,362;13,439;21,38;13,439;27,947
P04;03-Advanced;Smartphone;34,199;70,942;46,65;106,704;71,975;29,843;30,184;25,665;39,771
P05;03-Advanced;Smartphone;10,992;50,116;38,491;75,598;54,256;37,696;32,19;38,433;35,527
P06;03-Advanced;Smartphone;26,321;27,121;41,513;85,009;32,693;37,08;38,209;47,584;43,615
P07;03-Advanced;Smartphone;13,376;16,923;28,027;34,999;35,254;13,15;22,558;16,892;19,285
