Participant;Category;Device;Order;Choropleth1;Choropleth1;Choropleth1;Choropleth1;Choropleth1;Choropleth1;Choropleth1;Choropleth1;Choropleth2;Choropleth2;Choropleth2;Choropleth2;Choropleth2;Choropleth2;Choropleth2;Choropleth2;Choropleth3;Choropleth3;Choropleth3;Choropleth3;Choropleth3;Choropleth3;Choropleth3;Choropleth3;Choropleth4;Choropleth4;Choropleth4;Choropleth4;Choropleth4;Choropleth4;Choropleth4;Choropleth5;Choropleth5;Choropleth5;Choropleth5;Choropleth5;Choropleth5;Choropleth5;Point1;Point1;Point1;Point1;Point1;Point1;Point1;Point1;Point2;Point2;Point2;Point2;Point2;Point2;Point2;Point2;Point3;Point3;Point3;Point3;Point3;Point3;Point3;Point3;Point4;Point4;Point4;Point4;Point4;Point4;Point4;Point4
;;;;hide layer;legend closed;legend opened;movestart;popupopen;show layer;zoom in;zoom out;hide layer;legend closed;legend opened;movestart;popupopen;show layer;zoom in;zoom out;hide layer;legend closed;legend opened;movestart;popupopen;show layer;zoom in;zoom out;legend closed;legend opened;movestart;popupopen;show layer;zoom in;zoom out;legend closed;legend opened;movestart;popupopen;show layer;zoom in;zoom out;hide layer;legend closed;legend opened;movestart;popupopen;show layer;zoom in;zoom out;hide layer;legend closed;legend opened;movestart;popupopen;show layer;zoom in;zoom out;hide layer;legend closed;legend opened;movestart;popupopen;show layer;zoom in;zoom out;hide layer;legend closed;legend opened;movestart;popupopen;show layer;zoom in;zoom out
P30;01-Beginner;Desktop;Smartphone-Desktop;;;;1;2;;1;;;;;1;4;;2;;;;;2;2;;;;;;;6;;;;;;;12;;;;;;;5;;;3;;;1;1;7;;;3;1;;;;2;;;1;;;;;1;;;1;
P31;01-Beginner;Desktop;Desktop-Smartphone;;;1;1;3;;;;;;2;;5;;;;;;2;;2;;;;;1;;27;9;;;;1;1;14;11;;;;;1;3;1;;2;1;;;1;6;;;2;1;;1;1;11;;;3;1;;;1;16;;;2;
P32;01-Beginner;Desktop;Smartphone-Desktop;;;1;;3;;;;1;;1;9;7;1;3;4;;;1;;6;;;;;1;;10;7;;;;1;;11;3;;;5;;1;3;;;2;1;5;;1;3;;;2;1;6;;1;1;;;1;;5;;1;1;;;1;
P33;01-Beginner;Desktop;Desktop-Smartphone;;;1;;;;;;;;1;;;;;;;;1;11;;;4;5;;1;;7;13;;;;1;;5;9;;;5;1;2;;;;;;5;1;1;6;;;3;2;5;;1;3;;;2;1;4;;1;1;;;1;
P34;01-Beginner;Desktop;Smartphone-Desktop;;;2;2;25;;;;;;1;;12;;;;;;1;1;14;;;;;1;1;16;;;;;1;;4;;;;;;1;5;1;;3;1;;;;1;1;;1;;;;;1;1;;1;;;;;19;2;;7;9
P35;01-Beginner;Desktop;Desktop-Smartphone;2;;1;8;3;2;5;2;;;1;;;;;;;;1;2;3;;1;1;1;2;9;11;8;3;2;;2;;10;5;;;;;;7;;;3;2;;;;1;;;1;;;;;2;;;1;;;1;1;1;;;1;
P36;01-Beginner;Desktop;Smartphone-Desktop;;1;1;;2;;;;;2;2;;3;;;;;2;3;;5;;;;;;;6;;;;1;2;;8;4;;;5;;1;2;;;1;;5;;1;6;;;2;1;5;;1;5;;;2;1;6;;1;3;;1;1;
P37;01-Beginner;Desktop;Desktop-Smartphone;;;;1;4;;1;;;;;;2;;;;;;;;4;;;;;;;8;;;;;;;2;;;;;;;3;1;;3;;;;;1;;;1;;;;;1;;;1;;;;;1;;;1;
P38;01-Beginner;Desktop;Smartphone-Desktop;;;;;3;;;;;;;;7;;;;;;;4;9;;2;1;;;3;8;;1;1;;;3;14;;3;1;;;;8;;;4;2;;;;14;1;;5;2;;;;6;;;2;1;;;;4;;;2;1
